,P0,P1
0,-3.9609375,3.91015625
1,4.99609375,-5.28125
2,4.96484375,-5.22265625
3,4.89453125,-5.1953125
4,4.1015625,-4.3828125
5,4.8671875,-5.06640625
6,4.96875,-5.25
7,5.00390625,-5.27734375
8,4.94140625,-5.27734375
9,4.9453125,-5.30859375
10,4.2734375,-4.66015625
11,5.0,-5.3046875
12,4.984375,-5.24609375
13,4.9453125,-5.28125
14,4.97265625,-5.37890625
15,4.9609375,-5.3203125
16,2.021484375,-2.361328125
17,5.05859375,-5.3515625
18,5.02734375,-5.34765625
19,5.015625,-5.3515625
20,5.05078125,-5.3125
21,5.06640625,-5.34765625
22,4.94140625,-5.25390625
23,4.9921875,-5.3203125
24,5.0234375,-5.21484375
25,5.08203125,-5.328125
26,5.046875,-5.3359375
27,5.015625,-5.28125
28,4.96875,-5.31640625
29,4.97265625,-5.1953125
30,5.015625,-5.37109375
31,5.0,-5.3203125
32,4.9765625,-5.28515625
33,4.9921875,-5.328125
34,4.8359375,-5.2109375
35,5.0625,-5.3515625
36,4.94140625,-5.23828125
37,5.0625,-5.41015625
38,4.9375,-5.21875
39,5.03515625,-5.30859375
40,4.953125,-5.34375
41,5.03515625,-5.31640625
42,3.962890625,-4.28125
43,-3.935546875,3.9140625
44,5.08203125,-5.328125
45,5.03515625,-5.34765625
46,4.8828125,-5.1484375
47,5.015625,-5.34375
48,4.91796875,-5.22265625
49,5.02734375,-5.3046875
50,4.140625,-4.6015625
51,5.05078125,-5.3203125
52,5.07421875,-5.359375
53,2.021484375,-2.361328125
54,4.98828125,-5.25
55,5.0390625,-5.35546875
56,5.01171875,-5.359375
57,4.9921875,-5.27734375
58,5.05078125,-5.37109375
59,5.03515625,-5.3515625
60,4.81640625,-5.1328125
61,4.37109375,-4.69140625
62,5.00390625,-5.30859375
63,4.71484375,-5.0
64,4.2109375,-4.4921875
65,4.98046875,-5.1796875
66,4.53515625,-4.85546875
67,5.0625,-5.375
68,4.8671875,-5.29296875
69,-3.642578125,3.634765625
70,4.85546875,-5.19921875
71,5.0,-5.29296875
72,5.03125,-5.3671875
73,5.02734375,-5.31640625
74,4.91796875,-5.203125
75,4.94140625,-5.1796875
76,5.078125,-5.30859375
77,5.0078125,-5.296875
78,4.89453125,-5.16015625
79,5.03515625,-5.359375
80,4.7890625,-5.046875
81,4.95703125,-5.2578125
82,4.68359375,-4.9609375
83,4.81640625,-5.0390625
84,4.5234375,-4.99609375
85,3.81640625,-4.25390625
86,4.95703125,-5.33203125
87,5.0703125,-5.33984375
88,4.97265625,-5.3046875
89,5.0234375,-5.35546875
90,5.06640625,-5.3515625
91,4.96484375,-5.24609375
92,4.95703125,-5.2734375
93,3.927734375,-4.24609375
94,5.015625,-5.328125
95,4.9609375,-5.2734375
96,4.98828125,-5.29296875
97,4.890625,-5.30859375
98,4.7890625,-5.24609375
99,4.078125,-4.4921875
100,5.05859375,-5.34375
101,5.0,-5.2890625
102,5.0703125,-5.33984375
103,-3.6640625,3.685546875
104,-3.916015625,3.8984375
105,4.94921875,-5.34375
106,5.0,-5.37890625
107,4.9921875,-5.26171875
108,5.03125,-5.1875
109,5.03125,-5.28515625
110,3.119140625,-3.552734375
111,4.9921875,-5.28125
112,4.96484375,-5.19921875
113,5.00390625,-5.26171875
114,4.14453125,-4.40234375
115,5.0,-5.36328125
116,5.02734375,-5.328125
117,4.97265625,-5.23828125
118,4.73828125,-5.0859375
119,4.9609375,-5.3046875
120,4.84375,-5.22265625
121,4.9296875,-5.18359375
122,5.05859375,-5.35546875
123,5.0390625,-5.37109375
124,5.09375,-5.39453125
125,4.87890625,-5.1015625
126,4.296875,-4.68359375
127,-0.64013671875,0.677734375
128,5.03125,-5.33203125
129,4.97265625,-5.34375
130,4.63671875,-5.0859375
131,4.46484375,-4.9375
132,4.20703125,-4.578125
133,5.01171875,-5.3515625
134,4.80859375,-5.16015625
135,4.97265625,-5.26171875
136,4.93359375,-5.1484375
137,-3.884765625,3.88671875
138,5.0,-5.30859375
139,4.921875,-5.24609375
140,4.77734375,-5.1015625
141,4.91796875,-5.22265625
142,4.9921875,-5.2734375
143,5.01953125,-5.34765625
144,4.8984375,-5.20703125
145,5.0,-5.359375
146,4.92578125,-5.34375
147,5.01171875,-5.2890625
148,4.94921875,-5.2890625
149,4.9296875,-5.28125
150,4.97265625,-5.29296875
151,-3.732421875,3.74609375
152,5.01171875,-5.40625
153,4.58203125,-5.0546875
154,5.0,-5.30859375
155,5.06640625,-5.37109375
156,2.6640625,-3.048828125
157,5.0078125,-5.21875
158,5.0859375,-5.3515625
159,5.01171875,-5.34375
160,4.953125,-5.27734375
161,4.94921875,-5.1953125
162,4.96875,-5.171875
163,4.84375,-5.15625
164,2.6640625,-3.083984375
165,4.9453125,-5.16015625
166,5.01953125,-5.29296875
167,4.97265625,-5.23828125
168,5.01171875,-5.26171875
169,3.203125,-3.642578125
170,-3.94921875,3.9140625
171,4.984375,-5.3046875
172,3.609375,-3.73046875
173,4.90234375,-5.08203125
174,4.81640625,-5.19140625
175,-3.8984375,3.873046875
176,5.03125,-5.3828125
177,4.9609375,-5.203125
178,5.0390625,-5.36328125
179,5.00390625,-5.3125
180,5.0390625,-5.31640625
181,5.01953125,-5.27734375
182,4.9765625,-5.328125
183,4.74609375,-5.1328125
184,5.01171875,-5.26953125
185,-3.98046875,3.927734375
186,4.796875,-5.1796875
187,4.7109375,-5.03515625
188,-3.6875,3.681640625
189,5.03515625,-5.328125
190,4.94140625,-5.109375
191,4.92578125,-5.296875
192,4.9375,-5.16796875
193,-3.955078125,3.943359375
194,4.296875,-4.73046875
195,4.92578125,-5.3125
196,5.05078125,-5.23828125
197,4.87109375,-5.07421875
198,5.03515625,-5.33984375
199,5.07421875,-5.3828125
200,4.9453125,-5.2734375
201,4.5625,-4.875
202,4.87890625,-5.25390625
203,4.765625,-5.015625
204,-3.9609375,3.927734375
205,-0.55712890625,0.493896484375
206,4.9765625,-5.28515625
207,4.98046875,-5.265625
208,4.98046875,-5.33984375
209,5.05078125,-5.34375
210,-3.97265625,3.943359375
211,4.984375,-5.19921875
212,4.9296875,-5.171875
213,4.9453125,-5.234375
214,4.921875,-5.2734375
215,-3.166015625,3.224609375
216,5.03125,-5.28515625
217,5.07421875,-5.37890625
218,5.01953125,-5.31640625
219,4.9375,-5.22265625
220,4.59375,-4.984375
221,5.0,-5.33984375
222,5.0546875,-5.33203125
223,4.94921875,-5.3515625
224,5.01171875,-5.3203125
225,5.0,-5.25390625
226,5.0234375,-5.2109375
227,2.3359375,-2.734375
228,-3.96875,3.94140625
229,4.87109375,-5.19140625
230,4.9609375,-5.32421875
231,4.89453125,-5.2890625
232,5.08203125,-5.328125
233,4.65234375,-4.875
234,-3.90234375,3.912109375
235,4.94921875,-5.23046875
236,5.05859375,-5.375
237,4.9609375,-5.35546875
238,4.87109375,-5.26171875
239,5.0625,-5.23828125
240,4.98828125,-5.37890625
241,3.369140625,-3.73046875
242,4.8359375,-5.15234375
243,4.99609375,-5.1953125
244,5.0078125,-5.359375
245,4.97265625,-5.32421875
246,4.98828125,-5.2578125
247,4.88671875,-5.23828125
248,4.9765625,-5.1796875
249,5.00390625,-5.3515625
250,4.96875,-5.3203125
251,4.984375,-5.27734375
252,5.046875,-5.4375
253,4.90625,-5.30859375
254,4.54296875,-4.9921875
255,4.6953125,-5.13671875
256,5.015625,-5.34375
257,4.62109375,-5.015625
258,3.6328125,-3.974609375
259,4.96484375,-5.2578125
260,-3.95703125,3.93359375
261,4.98046875,-5.2265625
262,5.0234375,-5.2734375
263,4.93359375,-5.2109375
264,4.7734375,-5.10546875
265,4.99609375,-5.24609375
266,4.5234375,-4.7890625
267,5.06640625,-5.35546875
268,5.0625,-5.3046875
269,4.57421875,-4.96484375
270,2.021484375,-2.361328125
271,4.9765625,-5.20703125
272,4.859375,-5.22265625
273,5.00390625,-5.2734375
274,-3.953125,3.919921875
275,4.88671875,-5.21484375
276,4.921875,-5.28125
277,4.859375,-5.20703125
278,5.01953125,-5.25390625
279,5.0546875,-5.3515625
280,4.9921875,-5.34765625
281,4.515625,-4.890625
282,5.0546875,-5.34765625
283,4.8515625,-5.203125
284,5.046875,-5.3828125
285,4.8671875,-5.19921875
